SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
1,main_file_0.module_k_inst.y_1[7:0],priority_encoder_8_3|dout_inferred_clock[3],clkdiv|a1_inferred_clock,main_file_0.p24.delay_done,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
2,main_file_0.module_k_inst.y_1[15:8],priority_encoder_8_3|pri_enc_un91_din_inferred_clock,clkdiv|a1_inferred_clock,main_file_0.p24.delay_done,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
3,main_file_0.module_k_inst.y_1[23:16],priority_encoder_8_3|dout_inferred_clock[3],clkdiv|a1_inferred_clock,main_file_0.p24.delay_done,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
4,main_file_0.spi1.rd_int,clkdiv|a2_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[23:16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
5,main_file_0.spi1.rd_int,clkdiv|a2_inferred_clock,clkdiv|a1_inferred_clock,main_file_0.p1.temp1,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
6,main_file_0.spi1.rd_int,clkdiv|a2_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
7,main_file_0.spi1.pu_cnt,clkdiv|a2_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[23:16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
8,main_file_0.spi1.pu_cnt,clkdiv|a2_inferred_clock,clkdiv|a1_inferred_clock,main_file_0.p1.temp1,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
9,main_file_0.spi1.pu_cnt,clkdiv|a2_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
10,main_file_0.spi1.path,clkdiv|a2_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[23:16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Enable signal for synchonizer registers does not have a safe crossing.
11,main_file_0.spi1.path,clkdiv|a2_inferred_clock,clkdiv|a1_inferred_clock,main_file_0.p1.temp1,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Enable signal for synchonizer registers does not have a safe crossing.
12,main_file_0.spi1.path,clkdiv|a2_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Enable signal for synchonizer registers does not have a safe crossing.
13,main_file_0.spi1.spl,clkdiv|a2_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[23:16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Enable signal for synchonizer registers does not have a safe crossing.
14,main_file_0.spi1.spl,clkdiv|a2_inferred_clock,clkdiv|a1_inferred_clock,main_file_0.p1.temp1,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Enable signal for synchonizer registers does not have a safe crossing.
15,main_file_0.spi1.spl,clkdiv|a2_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Enable signal for synchonizer registers does not have a safe crossing.
16,main_file_0.spi1.qintcount[5:0],clkdiv|a2_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[23:16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
17,main_file_0.spi1.qintcount[5:0],clkdiv|a2_inferred_clock,clkdiv|a1_inferred_clock,main_file_0.p1.temp1,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
18,main_file_0.spi1.qintcount[5:0],clkdiv|a2_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
19,main_file_0.spi1.q[9:1],clkdiv|a2_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[23:16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
20,main_file_0.spi1.q[9:1],clkdiv|a2_inferred_clock,clkdiv|a1_inferred_clock,main_file_0.p1.temp1,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
21,main_file_0.spi1.q[9:1],clkdiv|a2_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
22,main_file_0.spi1.spi0.pq1clk,TOP|RDY,clkdiv|a2_inferred_clock,main_file_0.spi1.spi0.pq1[5:1],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
23,main_file_0.spi1.spi0.path_en,TOP|RDY,clkdiv|a2_inferred_clock,main_file_0.spi1.spi0.q_path[4:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
24,main_file_0.spi1.spi0.rdint_en,TOP|RDY,clkdiv|a2_inferred_clock,main_file_0.spi1.spi0.q_rdint[4:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
25,main_file_0.spi1.spi0.shreg1[23:0],clkdiv|a2_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[23:16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Enable signal for synchonizer registers does not have a safe crossing.
