SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
48,main_file_0.spi1.stop4.input_F1,clkdiv|a2_inferred_clock,clkdiv|a1_inferred_clock,main_file_0.p1.temp1,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Divergence detected in the crossover path.
49,main_file_0.spi1.stop4.input_F1,clkdiv|a2_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Divergence detected in the crossover path.
50,main_file_0.spi1.stop3.input_F1,clkdiv|a2_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[23:16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Divergence detected in the crossover path.
51,main_file_0.spi1.stop3.input_F1,clkdiv|a2_inferred_clock,clkdiv|a1_inferred_clock,main_file_0.p1.temp1,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Divergence detected in the crossover path.
52,main_file_0.spi1.stop3.input_F1,clkdiv|a2_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Divergence detected in the crossover path.
53,main_file_0.spi1.stop2.input_F1,clkdiv|a2_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[23:16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Divergence detected in the crossover path.
54,main_file_0.spi1.stop2.input_F1,clkdiv|a2_inferred_clock,clkdiv|a1_inferred_clock,main_file_0.p1.temp1,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Divergence detected in the crossover path.
55,main_file_0.spi1.stop2.input_F1,clkdiv|a2_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Divergence detected in the crossover path.
56,main_file_0.spi1.stop1.input_F1,clkdiv|a2_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[23:16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Divergence detected in the crossover path.
57,main_file_0.spi1.stop1.input_F1,clkdiv|a2_inferred_clock,clkdiv|a1_inferred_clock,main_file_0.p1.temp1,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Divergence detected in the crossover path.
58,main_file_0.spi1.stop1.input_F1,clkdiv|a2_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Divergence detected in the crossover path.
59,main_file_0.p24.fault_sig,clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
60,main_file_0.p24.delay_done,clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
61,main_file_0.p24.counterValue[6:0],clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
62,main_file_0.p23.fault_sig,clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
63,main_file_0.p23.delay_done,clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
64,main_file_0.p23.counterValue[6:0],clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
65,main_file_0.p22.fault_sig,clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
66,main_file_0.p22.delay_done,clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
67,main_file_0.p22.counterValue[6:0],clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
68,main_file_0.p21.fault_sig,clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
69,main_file_0.p21.delay_done,clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
